time,x,y,z
0.0,0.56,-1.47,0.42
6.199930794537067e-06,0.42,-1.61,0.28
7.0999376475811005e-06,0.56,-1.61,0.42
7.699942216277122e-06,0.77,-1.47,0.42
8.199946023523808e-06,0.63,-1.61,0.35
9.199953638017178e-06,0.56,-1.61,0.42
9.699957445263863e-06,0.56,-1.54,0.35
1.0299962013959885e-05,0.7,-1.61,0.35
1.0999967344105244e-05,0.7,-1.61,0.35
1.1599971912801266e-05,0.63,-1.47,0.42
1.2199976481497288e-05,0.56,-1.54,0.42
1.2999982573091984e-05,0.56,-1.61,0.35
1.3499986380338669e-05,0.56,-1.68,0.35
1.4199991710484028e-05,0.49,-1.68,0.28
1.479999627918005e-05,0.63,-1.68,0.28
1.550000160932541e-05,0.49,-1.54,0.35
1.6000005416572094e-05,0.56,-1.61,0.35
1.6699894331395626e-05,0.7,-1.54,0.28
1.719989813864231e-05,0.56,-1.61,0.35
1.759990118443966e-05,0.56,-1.61,0.28
1.7999904230237007e-05,0.56,-1.68,0.28
1.8499908037483692e-05,0.56,-1.61,0.35
1.889991108328104e-05,0.63,-1.54,0.35
1.9499915651977062e-05,0.7,-1.61,0.49
1.989991869777441e-05,0.7,-1.61,0.42
2.0999927073717117e-05,0.56,-1.68,0.28
2.1499930880963802e-05,0.56,-1.61,0.42
2.189993392676115e-05,0.56,-1.54,0.35
2.22999369725585e-05,0.63,-1.68,0.42
2.319994382560253e-05,0.63,-1.54,0.28
2.359994687139988e-05,0.63,-1.61,0.35
2.41999514400959e-05,0.7,-1.68,0.49
2.4799956008791924e-05,0.63,-1.47,0.28
2.629996743053198e-05,0.56,-1.61,0.28
2.759997732937336e-05,0.56,-1.47,0.49
2.859998494386673e-05,0.63,-1.54,0.35
2.9499991796910763e-05,0.63,-1.54,0.35
3.0099996365606785e-05,0.63,-1.61,0.42
3.070000093430281e-05,0.63,-1.61,0.28
3.1400006264448166e-05,0.63,-1.61,0.28
3.199989441782236e-05,0.7,-1.61,0.42
3.299990203231573e-05,0.63,-1.61,0.21
3.3499905839562416e-05,0.56,-1.54,0.42
3.409991040825844e-05,0.7,-1.54,0.42
3.509991802275181e-05,0.56,-1.47,0.49
3.569992259144783e-05,0.84,-1.54,0.49
3.6199926398694515e-05,0.77,-1.54,0.49
3.6899931728839874e-05,0.63,-1.68,0.35
3.729993477463722e-05,0.7,-1.54,0.49
3.769993782043457e-05,0.56,-1.75,0.42
3.809994086623192e-05,0.63,-1.47,0.35
3.879994619637728e-05,0.56,-1.47,0.35
3.9499951526522636e-05,0.63,-1.61,0.28
4.039995837956667e-05,0.56,-1.61,0.35
4.12999652326107e-05,0.63,-1.61,0.49
4.1899969801306725e-05,0.63,-1.61,0.28
4.239997360855341e-05,0.49,-1.61,0.28
4.329998046159744e-05,0.49,-1.68,0.28
4.379998426884413e-05,0.56,-1.61,0.28
4.429998807609081e-05,0.63,-1.47,0.35
4.469999112188816e-05,0.7,-1.54,0.42
4.529999569058418e-05,0.7,-1.47,0.42
4.5900000259280205e-05,0.63,-1.54,0.42
4.640000406652689e-05,0.56,-1.61,0.35
4.689989145845175e-05,0.63,-1.61,0.35
4.819990135729313e-05,0.56,-1.68,0.21
4.879990592598915e-05,0.56,-1.54,0.35
4.9299909733235836e-05,0.56,-1.68,0.21
4.9999915063381195e-05,0.56,-1.61,0.35
5.039991810917854e-05,0.49,-1.75,0.21
5.089992191642523e-05,0.56,-1.54,0.42
5.159992724657059e-05,0.49,-1.61,0.35
5.209993105381727e-05,0.56,-1.54,0.42
5.279993638396263e-05,0.7,-1.68,0.35
5.339994095265865e-05,0.49,-1.61,0.14
5.389994475990534e-05,0.7,-1.61,0.35
5.439994856715202e-05,0.63,-1.61,0.42
5.579995922744274e-05,0.56,-1.61,0.42
5.6399963796138763e-05,0.56,-1.61,0.35
5.719996988773346e-05,0.42,-1.68,0.21
5.7699973694980145e-05,0.63,-1.54,0.49
5.809997674077749e-05,0.63,-1.61,0.28
5.849997978657484e-05,0.49,-1.75,0.21
5.889998283237219e-05,0.56,-1.54,0.28
5.9299985878169537e-05,0.63,-1.61,0.42
5.9699988923966885e-05,0.49,-1.61,0.35
6.029999349266291e-05,0.56,-1.61,0.28
6.0699996538460255e-05,0.63,-1.54,0.42
6.10999995842576e-05,0.7,-1.54,0.28
6.170000415295362e-05,0.7,-1.54,0.21
6.219989154487848e-05,0.7,-1.54,0.35
6.269989535212517e-05,0.7,-1.61,0.42
6.309989839792252e-05,0.7,-1.61,0.35
6.449990905821323e-05,0.49,-1.47,0.35
6.509991362690926e-05,0.63,-1.61,0.42
6.569991819560528e-05,0.77,-1.54,0.42
6.619992200285196e-05,0.56,-1.75,0.28
6.659992504864931e-05,0.49,-1.61,0.42
6.719992961734533e-05,0.7,-1.54,0.49
6.759993266314268e-05,0.63,-1.47,0.35
6.81999372318387e-05,0.56,-1.61,0.21
6.859994027763605e-05,0.56,-1.54,0.21
6.89999433234334e-05,0.63,-1.54,0.42
6.97999494150281e-05,0.49,-1.61,0.42
7.119996007531881e-05,0.49,-1.68,0.21
7.209996692836285e-05,0.77,-1.54,0.49
7.309997454285622e-05,-2.17,-0.42,0.28
7.429998368024826e-05,-41.16,-2.45,0.14
7.54999928176403e-05,28.49,-3.5,-1.47
7.730000652372837e-05,11.76,-7.07,1.05
7.79998954385519e-05,15.12,-3.99,1.05
7.859990000724792e-05,-2.73,-1.89,0.84
7.909990381449461e-05,-3.01,17.08,0.07
7.95999076217413e-05,-5.6,1.54,0.49
8.029991295188665e-05,-0.49,0.63,0.35
8.089991752058268e-05,0.28,-0.77,0.21
8.14999220892787e-05,-2.66,-2.38,0.14
8.219992741942406e-05,-2.66,-2.66,0.14
8.319993503391743e-05,1.19,-1.61,0.35
8.41999426484108e-05,1.68,-0.77,0.28
8.459994569420815e-05,3.36,-3.36,0.7
8.509994950145483e-05,3.22,-3.22,0.56
8.569995407015085e-05,1.96,-2.87,0.63
8.619995787739754e-05,-0.7,-1.26,0.14
8.68999632075429e-05,-1.19,-0.91,0.28
8.739996701478958e-05,-0.7,-0.77,0.14
8.79999715834856e-05,1.12,-1.19,0.14
8.859997615218163e-05,1.96,-2.31,0.28
8.909997995942831e-05,0.28,-1.75,0.28
9.029998909682035e-05,-0.42,-1.19,0.49
9.089999366551638e-05,-0.7,-0.84,0.49
9.159999899566174e-05,0.35,-1.4,0.63
9.220000356435776e-05,0.42,-1.75,0.63
9.270000737160444e-05,0.56,-1.96,0.77
9.309989400207996e-05,0.56,-1.82,0.56
9.359989780932665e-05,-0.28,-0.84,0.42
9.419990237802267e-05,0.56,-1.19,0.21
9.469990618526936e-05,1.68,-2.03,0.21
9.519990999251604e-05,3.08,-2.66,0.21
9.559991303831339e-05,2.59,-2.38,0.21
9.599991608411074e-05,0.28,-1.05,0.35
9.639991912990808e-05,-0.21,-0.91,0.56
9.689992293715477e-05,-0.42,-1.4,0.49
9.739992674440145e-05,-0.49,-1.47,0.42
9.789993055164814e-05,-0.28,-1.4,0.56
9.849993512034416e-05,-0.28,-1.33,0.28
9.909993968904018e-05,0.0,-1.47,0.28
9.96999442577362e-05,0.49,-1.54,0.35
0.00010009994730353355,1.12,-1.68,0.21
0.00010079995263367891,1.47,-1.96,0.28
0.00010119995567947626,1.68,-1.89,0.42
0.00010159995872527361,1.12,-1.75,0.35
0.00010199996177107096,0.7,-1.54,0.49
0.00010259996633976698,0.42,-1.68,0.42
0.00010309997014701366,0.63,-1.68,0.42
0.00010369997471570969,0.84,-1.68,0.42
0.00010409997776150703,0.35,-1.54,0.35
0.00010459998156875372,0.0,-1.33,0.28
0.00010519998613744974,-0.07,-1.26,0.28
0.00010599999222904444,-0.07,-1.33,0.14
0.00010659999679774046,0.14,-1.33,0.42
0.00010710000060498714,0.63,-1.54,0.42
0.00010750000365078449,1.05,-1.96,0.35
0.00010790000669658184,1.26,-1.96,0.49
0.00010869989637285471,0.98,-1.82,0.42
0.00010929990094155073,0.84,-1.82,0.35
0.00010989990551024675,0.98,-1.47,0.56
0.00011059991084039211,0.84,-1.47,0.42
0.00011099991388618946,0.7,-1.47,0.28
0.00011139991693198681,0.21,-1.4,0.28
0.0001118999207392335,-0.07,-1.47,0.21
0.00011239992454648018,0.14,-1.4,0.35
0.00011289992835372686,0.63,-1.68,0.42
0.00011439993977546692,0.7,-1.82,0.35
0.00011509994510561228,0.56,-1.82,0.28
0.00011559994891285896,0.49,-1.54,0.42
0.00011599995195865631,0.14,-1.4,0.21
