time,x,y,z
0.7010232000611722,0.49,-1.61,0.28
0.7010375000536442,0.56,-1.54,0.35
0.7010406000772491,0.63,-1.61,0.42
0.701042800094001,0.63,-1.54,0.42
0.701045099995099,0.7,-1.68,0.49
0.7010482000187039,0.77,-1.54,0.35
0.7010504000354558,0.42,-1.68,0.28
0.7010529000544921,0.7,-1.47,0.42
0.7010553000727668,0.56,-1.47,0.42
0.7010578000918031,0.56,-1.54,0.42
0.7010603999951854,0.63,-1.47,0.42
0.7010630000149831,0.63,-1.61,0.35
0.7010656000347808,0.63,-1.61,0.42
0.7010983000509441,0.77,-1.54,0.35
0.7011007000692189,0.63,-1.61,0.35
0.7011029000859708,0.63,-1.54,0.35
0.7011046999832615,0.56,-1.61,0.28
0.7011074000038207,0.56,-1.61,0.42
0.7011095000198111,0.56,-1.75,0.35
0.7011121000396088,0.7,-1.61,0.49
0.701114600058645,0.49,-1.54,0.28
0.7011172000784427,0.63,-1.61,0.35
0.7011195999803022,0.49,-1.68,0.35
0.7011220999993384,0.7,-1.47,0.35
0.7011247000191361,0.56,-1.68,0.42
0.7011273000389338,0.63,-1.61,0.35
0.7011293000541627,0.49,-1.68,0.21
0.7011314000701532,0.63,-1.61,0.35
0.7011334000853822,0.63,-1.54,0.42
0.7011355999857187,0.7,-1.54,0.49
0.7011376000009477,0.63,-1.54,0.42
0.7011549000162631,0.7,-1.54,0.49
0.7011568000307307,0.49,-1.68,0.42
0.7011594000505283,0.63,-1.61,0.42
0.7011609000619501,0.49,-1.68,0.28
0.7011626000748947,0.42,-1.68,0.28
0.701165100093931,0.49,-1.68,0.42
0.7011672999942675,0.56,-1.54,0.28
0.7011698000133038,0.63,-1.68,0.28
0.7011711000232026,0.56,-1.47,0.42
0.7011729000369087,0.63,-1.54,0.42
0.7011756000574678,0.56,-1.61,0.35
0.7011768000666052,0.63,-1.54,0.35
0.7011780000757426,0.49,-1.68,0.35
0.7011798000894487,0.56,-1.61,0.35
0.7011815999867395,0.56,-1.54,0.35
0.7011829999973997,0.63,-1.54,0.42
0.7011851000133902,0.7,-1.54,0.42
0.7011872000293806,0.63,-1.54,0.49
0.701189500046894,0.56,-1.61,0.42
0.7011917000636458,0.63,-1.54,0.35
0.7011941000819206,0.42,-1.61,0.28
0.7011959999799728,0.56,-1.54,0.35
0.7011983999982476,0.56,-1.33,0.28
0.7011999000096694,0.84,-1.82,0.42
0.7012014000210911,0.7,-1.75,0.28
0.7012032000347972,0.56,-1.61,0.28
0.7012046000454575,0.49,-1.54,0.28
0.7012064000591636,0.56,-1.47,0.35
0.7012082000728697,0.63,-1.54,0.35
0.7012102000880986,0.49,-1.61,0.35
0.7012114999815822,0.28,-1.61,0.35
0.7012130999937654,0.49,-1.61,0.49
0.7012145000044256,0.56,-1.61,0.42
0.7012162000173703,0.7,-1.47,0.28
0.7012343000387773,0.84,-1.68,0.42
0.7012365000555292,0.91,-1.61,0.49
0.7012385000707582,0.77,-1.61,0.49
0.7012403000844643,0.56,-1.61,0.28
0.7012421999825165,0.7,-1.54,0.42
0.7012442999985069,0.63,-1.61,0.49
0.701246100012213,0.56,-1.68,0.35
0.7012487000320107,0.49,-1.61,0.35
0.7012505000457168,0.49,-1.54,0.35
0.7012527000624686,0.49,-1.47,0.35
0.701255000079982,0.56,-1.54,0.35
0.7012575999833643,0.49,-1.68,0.21
0.7012635000282899,0.49,-1.68,0.14
0.7012658000458032,0.63,-1.47,0.42
0.7012680000625551,0.49,-1.54,0.28
0.7012695000739768,0.63,-1.61,0.35
0.7012716000899673,0.77,-1.89,0.21
0.7012732999864966,0.77,-1.68,0.35
0.7012749999994412,0.35,-1.61,0.14
0.701276500010863,0.35,-1.33,0.28
0.7012781000230461,0.35,-1.47,0.35
0.7012797000352293,0.56,-1.68,0.35
0.7012816000496969,0.49,-1.75,0.42
0.7012835000641644,0.42,-1.54,0.35
0.7012855000793934,0.56,-1.54,0.42
0.7012869000900537,0.42,-1.47,0.28
0.7012888999888673,0.63,-1.54,0.21
0.701290600001812,0.77,-1.68,0.28
0.7012942000292242,0.77,-1.75,0.35
0.7012959000421688,0.49,-1.61,0.35
0.7012973000528291,0.42,-1.61,0.35
0.7012991000665352,0.49,-1.61,0.28
0.7013009000802413,0.56,-1.61,0.28
0.7013027000939474,0.7,-1.68,0.35
0.7013044999912381,0.21,-1.47,0.49
0.7013061000034213,0.77,-1.61,0.21
0.7013075000140816,0.42,-1.61,0.28
0.7013092000270262,0.56,-1.75,0.42
0.7013103000354022,0.63,-1.75,0.42
0.7013117000460625,0.77,-1.61,0.42
0.7013129000551999,0.49,-1.68,0.21
0.7013144000666216,0.42,-1.68,0.21
0.7013157000765204,0.56,-1.47,0.42
0.7013173000887036,0.63,-1.68,0.56
0.7013216000050306,0.56,-1.61,0.35
0.7013240000233054,0.7,-1.61,0.42
0.701325900037773,0.56,-1.54,0.21
0.701327700051479,0.7,-1.61,0.28
0.7013298000674695,0.7,-1.75,0.35
0.7013313000788912,0.63,-1.75,0.35
0.7013335999799892,0.56,-1.68,0.35
0.7013356999959797,0.42,-1.4,0.42
0.7013379000127316,1.05,-1.75,0.28
0.7013557000318542,0.77,-1.61,0.35
0.7013574000447989,0.91,-1.82,0.28
0.7013597000623122,0.63,-1.61,0.42
0.7013620000798255,0.63,-1.61,0.49
0.7013645999832079,0.42,-1.4,0.35
0.7013666999991983,0.77,-1.54,0.35
0.7013683000113815,0.63,-1.61,0.49
0.701370200025849,0.56,-1.82,0.28
0.7013719000387937,0.7,-1.54,0.49
0.7013731000479311,0.63,-1.47,0.49
0.7013746000593528,0.56,-1.4,0.42
0.7013772000791505,0.84,-1.68,0.35
0.7013787000905722,0.77,-1.68,0.35
0.7013805999886245,0.63,-1.68,0.28
0.7013823000015691,0.49,-1.4,0.49
0.7013847000198439,0.42,-1.47,0.35
0.7013866000343114,0.42,-1.47,0.49
0.7013884000480175,0.98,-1.75,0.49
0.7013896000571549,0.7,-1.82,0.28
0.701392300077714,0.63,-1.54,0.42
0.7013944000937045,0.42,-1.4,0.28
0.7013961999909952,0.28,-1.47,0.28
0.701397700002417,0.42,-1.61,0.28
0.7013992000138387,0.56,-1.75,0.28
0.7014007000252604,0.7,-1.82,0.28
0.7014018000336364,0.49,-1.54,0.35
0.701403500046581,0.42,-1.54,0.21
0.7014050000580028,0.49,-1.61,0.35
0.7014064000686631,0.77,-1.82,0.28
0.7014077000785619,0.77,-1.68,0.35
0.7014094000915065,0.7,-1.61,0.28
0.7014112999895588,0.49,-1.54,0.28
0.7014128000009805,0.56,-1.54,0.35
0.7014143000124022,0.56,-1.61,0.35
0.7014307000208646,0.77,-1.75,0.42
0.701431900030002,0.84,-1.61,0.35
0.7014336000429466,0.42,-1.47,0.49
0.7014353000558913,0.28,-0.98,0.42
0.7014373000711203,1.26,-1.54,0.28
0.7014392000855878,0.84,-1.96,0.35
0.7014406999805942,0.56,-1.54,0.35
0.7014423999935389,0.56,-1.54,0.42
0.7014436000026762,0.28,-1.33,0.35
0.7014450000133365,0.63,-1.61,0.35
0.7014463000232354,0.35,-1.68,0.35
0.7014478000346571,0.56,-1.75,0.21
0.7014494000468403,0.14,-1.47,0.28
0.7014512000605464,0.77,-1.47,0.42
0.7014528000727296,0.49,-1.54,0.35
0.7014545000856742,0.7,-1.75,0.35
0.7014563999837264,0.77,-1.75,0.28
0.7014583999989554,0.63,-1.68,0.21
0.7014605000149459,0.42,-1.54,0.28
0.7014628000324592,0.42,-1.47,0.42
0.7014645000454038,0.77,-1.61,0.42
0.7014687000773847,0.77,-1.54,0.35
0.7014702000888065,0.7,-1.54,0.28
0.70147149998229,0.56,-1.75,0.28
0.7014727999921888,0.49,-1.33,0.28
0.7014742000028491,1.05,-1.61,0.42
0.701475300011225,0.42,-1.54,0.42
