time,x,y,z
0.0,0.56,-1.61,0.42
6.199930794537067e-06,0.63,-1.61,0.42
7.4999406933784485e-06,0.56,-1.54,0.35
8.499948307871819e-06,0.56,-1.54,0.49
9.09995287656784e-06,0.42,-1.54,0.35
1.0199961252510548e-05,0.56,-1.54,0.28
1.0899966582655907e-05,0.56,-1.47,0.42
1.1599971912801266e-05,0.63,-1.61,0.28
1.2299977242946625e-05,0.63,-1.61,0.42
1.309998333454132e-05,0.63,-1.68,0.35
1.379998866468668e-05,0.56,-1.68,0.35
1.4599994756281376e-05,0.56,-1.61,0.28
1.5400000847876072e-05,0.56,-1.47,0.35
1.610000617802143e-05,0.63,-1.54,0.35
1.6700010746717453e-05,0.63,-1.61,0.35
1.7299898900091648e-05,0.56,-1.54,0.35
1.8099904991686344e-05,0.56,-1.54,0.28
1.9099912606179714e-05,0.49,-1.54,0.28
1.9799917936325073e-05,0.49,-1.68,0.35
2.0699924789369106e-05,0.56,-1.61,0.35
2.1399930119514465e-05,0.63,-1.61,0.28
2.219993621110916e-05,0.7,-1.54,0.42
2.3499946109950542e-05,0.7,-1.47,0.35
2.4399952962994576e-05,0.49,-1.61,0.28
2.519995905458927e-05,0.56,-1.54,0.35
2.6499968953430653e-05,0.63,-1.61,0.42
2.759997732937336e-05,0.63,-1.47,0.28
2.8799986466765404e-05,0.63,-1.54,0.42
2.9799994081258774e-05,0.77,-1.4,0.49
3.0800001695752144e-05,0.63,-1.47,0.42
3.1800009310245514e-05,0.63,-1.54,0.49
3.2499898225069046e-05,0.7,-1.54,0.35
3.3499905839562416e-05,0.49,-1.61,0.28
3.4899916499853134e-05,0.56,-1.61,0.35
3.569992259144783e-05,0.56,-1.61,0.35
3.6499928683042526e-05,0.56,-1.68,0.28
3.7199934013187885e-05,0.49,-1.61,0.35
3.799994010478258e-05,0.63,-1.47,0.35
3.879994619637728e-05,0.56,-1.61,0.28
3.9499951526522636e-05,0.7,-1.61,0.35
4.009995609521866e-05,0.56,-1.54,0.28
4.12999652326107e-05,0.56,-1.68,0.35
4.20999713242054e-05,0.49,-1.68,0.42
4.279997665435076e-05,0.63,-1.54,0.28
4.3599982745945454e-05,0.49,-1.54,0.42
4.449998959898949e-05,0.63,-1.54,0.42
4.549999721348286e-05,0.63,-1.47,0.28
4.6200002543628216e-05,0.77,-1.47,0.49
4.6900007873773575e-05,0.63,-1.68,0.21
4.759989678859711e-05,0.7,-1.68,0.35
4.83999028801918e-05,0.7,-1.54,0.42
4.909990821033716e-05,0.49,-1.54,0.42
4.979991354048252e-05,0.49,-1.54,0.35
5.0999922677874565e-05,0.56,-1.61,0.28
5.1699928008019924e-05,0.49,-1.61,0.35
5.2299932576715946e-05,0.63,-1.47,0.42
5.289993714541197e-05,0.63,-1.68,0.42
5.359994247555733e-05,0.7,-1.61,0.42
5.419994704425335e-05,0.56,-1.61,0.28
5.479995161294937e-05,0.49,-1.61,0.28
5.549995694309473e-05,0.56,-1.61,0.28
5.619996227324009e-05,0.56,-1.61,0.35
5.719996988773346e-05,0.63,-1.75,0.21
5.8399979025125504e-05,0.63,-1.61,0.35
5.91999851167202e-05,0.56,-1.54,0.42
6.120000034570694e-05,0.7,-1.54,0.42
6.230000872164965e-05,0.56,-1.68,0.28
6.309989839792252e-05,0.49,-1.54,0.28
6.389990448951721e-05,0.63,-1.61,0.35
6.449990905821323e-05,0.63,-1.54,0.35
6.509991362690926e-05,0.7,-1.61,0.35
6.589991971850395e-05,0.7,-1.54,0.42
6.669992581009865e-05,0.56,-1.68,0.28
6.739993114024401e-05,0.63,-1.54,0.35
6.81999372318387e-05,0.63,-1.54,0.42
6.879994180053473e-05,0.77,-1.54,0.42
6.939994636923075e-05,0.49,-1.68,0.35
7.079995702952147e-05,0.63,-1.68,0.42
7.159996312111616e-05,0.7,-1.54,0.35
7.24999699741602e-05,0.63,-1.61,0.42
7.319997530430555e-05,0.63,-1.54,0.35
7.389998063445091e-05,0.63,-1.61,0.42
7.459998596459627e-05,0.63,-1.61,0.49
7.51999905332923e-05,0.63,-1.68,0.28
7.589999586343765e-05,0.7,-1.61,0.42
7.690000347793102e-05,0.7,-1.4,0.42
7.760000880807638e-05,0.63,-1.61,0.14
7.819989696145058e-05,0.42,-1.68,0.07
7.87999015301466e-05,0.56,-1.68,0.28
7.949990686029196e-05,0.7,-1.61,0.35
8.019991219043732e-05,0.42,-1.47,0.28
8.079991675913334e-05,0.49,-1.54,0.35
8.139992132782936e-05,0.63,-1.61,0.35
8.299993351101875e-05,0.56,-1.54,0.28
8.369993884116411e-05,0.63,-1.47,0.35
8.429994340986013e-05,0.56,-1.54,0.42
8.489994797855616e-05,0.7,-1.68,0.28
8.559995330870152e-05,0.49,-1.68,0.28
8.659996092319489e-05,-28.56,6.16,0.91
8.769996929913759e-05,-0.7,-16.73,-0.91
8.859997615218163e-05,13.02,-4.13,-1.54
8.929998148232698e-05,13.09,-8.96,0.98
9.009998757392168e-05,7.7,-0.77,0.56
9.089999366551638e-05,-2.8,-1.61,0.56
9.169999975711107e-05,-1.4,0.0,0.14
9.250000584870577e-05,-5.18,-0.07,0.35
9.329989552497864e-05,0.35,-0.35,0.28
9.409990161657333e-05,-2.45,-0.42,0.07
9.489990770816803e-05,-2.66,-2.1,0.14
9.639991912990808e-05,-1.82,-1.82,0.14
9.709992446005344e-05,2.03,-1.05,0.49
9.77999297901988e-05,3.5,-1.75,0.35
9.849993512034416e-05,4.2,-3.15,0.7
9.919994045048952e-05,2.87,-3.08,0.49
9.979994501918554e-05,1.82,-2.17,0.7
0.0001004999503493309,0.28,-0.98,0.21
0.00010109995491802692,-0.98,-0.77,0.07
0.00010199996177107096,0.14,-1.05,0.21
0.00010339997243136168,0.77,-1.68,0.14
0.00010429997928440571,0.91,-1.68,0.14
0.00010519998613744974,0.14,-1.12,0.14
0.00010609999299049377,-0.49,-0.77,0.42
0.00010699999984353781,-0.28,-1.05,0.63
0.00010760000441223383,0.28,-1.75,0.56
0.00010840001050382853,0.35,-1.96,0.63
0.00010899989865720272,0.49,-1.96,0.56
0.00010979990474879742,0.28,-1.4,0.42
0.00011059991084039211,0.07,-1.12,0.28
0.00011139991693198681,0.35,-1.75,0.14
0.00011269992683082819,2.38,-2.45,0.21
0.00011339993216097355,2.87,-2.59,0.14
0.00011409993749111891,2.38,-1.82,0.14
0.00011479994282126427,0.14,-1.19,0.21
0.00011549994815140963,-0.42,-1.12,0.35
0.00011609995272010565,-0.56,-1.26,0.49
0.00011679995805025101,-0.56,-1.47,0.49
0.00011739996261894703,-0.35,-1.4,0.35
0.00011809996794909239,-0.42,-1.4,0.28
0.00011869997251778841,0.0,-1.54,0.28
0.00011939997784793377,0.77,-1.68,0.21
0.00011999998241662979,0.98,-1.75,0.14
0.00012069998774677515,1.54,-2.03,0.21
0.00012129999231547117,1.89,-2.03,0.21
0.0001218999968841672,1.54,-1.82,0.49
0.00012260000221431255,0.42,-1.54,0.42
0.0001233000075444579,0.28,-1.68,0.42
0.0001238998956978321,0.49,-1.75,0.35
0.00012459990102797747,0.63,-1.54,0.56
0.0001251999055966735,0.35,-1.4,0.21
0.0001262999139726162,0.0,-1.33,0.14
0.00012699991930276155,-0.28,-1.33,0.14
0.00012769992463290691,-0.21,-1.4,0.28
0.0001284999307245016,0.28,-1.4,0.21
0.00012919993605464697,0.84,-1.68,0.28
0.00012999994214624166,1.19,-1.82,0.35
0.00013079994823783636,1.26,-1.96,0.49
0.00013149995356798172,1.05,-1.82,0.56
0.00013229995965957642,0.84,-1.68,0.35
0.00013299996498972178,0.84,-1.61,0.42
0.00013369997031986713,0.91,-1.68,0.21
0.00013449997641146183,0.7,-1.33,0.28
0.00013529998250305653,-0.07,-1.4,0.14
0.00013619998935610056,-0.07,-1.33,0.28
0.00013699999544769526,0.35,-1.61,0.28
0.00013770000077784061,0.56,-1.75,0.42
0.00013840000610798597,0.63,-1.82,0.35
0.000139000010676682,0.63,-1.68,0.28
0.00013979990035295486,0.56,-1.54,0.35
0.00014049990568310022,0.28,-1.47,0.28
0.00014109991025179625,0.84,-1.54,0.42
0.00014169991482049227,1.05,-1.68,0.21
0.00014239992015063763,0.91,-1.75,0.07
0.00014309992548078299,0.7,-1.54,0.35
0.00014469993766397238,0.56,-1.54,0.35
0.0001452999422326684,0.7,-1.68,0.42
0.0001460999483242631,0.7,-1.75,0.35
0.00014669995289295912,0.49,-1.54,0.42
0.00014729995746165514,0.21,-1.47,0.21
0.0001479999627918005,0.07,-1.47,0.28
0.00014859996736049652,0.42,-1.47,0.35
0.00014949997421354055,0.7,-1.68,0.28
