Time,x,y,z
1,0.56,-1.54,0.28
2,0.56,-1.47,0.28
3,0.63,-1.61,0.35
4,0.77,-1.54,0.42
5,0.49,-1.61,0.21
6,0.56,-1.54,0.42
7,0.63,-1.47,0.42
8,0.70,-1.54,0.42
9,0.63,-1.61,0.35
10,0.70,-1.61,0.49
11,0.70,-1.54,0.35
12,0.70,-1.61,0.28
13,0.70,-1.54,0.35
14,0.63,-1.47,0.28
15,0.63,-1.61,0.35
16,0.56,-1.61,0.28
17,0.56,-1.61,0.49
18,0.49,-1.54,0.35
19,0.70,-1.40,0.35
20,0.56,-1.47,0.35
21,0.56,-1.47,0.42
22,0.56,-1.68,0.35
23,0.35,-1.47,0.28
24,0.56,-1.40,0.42
25,0.42,-1.47,0.35
26,0.49,-1.61,0.28
27,0.49,-1.54,0.35
28,0.56,-1.47,0.35
29,0.56,-1.68,0.28
30,0.42,-1.68,0.21
31,0.56,-1.47,0.28
32,0.49,-1.68,0.35
33,0.56,-1.54,0.21
34,0.49,-1.54,0.28
35,0.63,-1.47,0.42
36,0.49,-1.54,0.35
37,0.56,-1.68,0.28
38,0.63,-1.47,0.35
39,0.56,-1.47,0.42
40,0.63,-1.47,0.42
41,0.49,-1.82,0.35
42,0.56,-1.61,0.35
43,0.49,-1.54,0.35
44,0.63,-1.54,0.42
45,0.56,-1.54,0.42
46,0.70,-1.54,0.35
47,0.56,-1.61,0.35
48,0.49,-1.54,0.35
49,0.49,-1.61,0.28
50,0.63,-1.47,0.35
51,0.49,-1.47,0.35
52,0.42,-1.54,0.35
53,0.63,-1.54,0.35
54,0.56,-1.54,0.35
55,0.70,-1.54,0.35
56,0.49,-1.61,0.14
57,0.56,-1.61,0.28
58,0.49,-1.47,0.28
59,0.49,-1.54,0.35
60,0.49,-1.61,0.28
61,0.70,-1.54,0.35
62,0.63,-1.40,0.28
63,0.49,-1.47,0.28
64,0.56,-1.54,0.35
65,0.63,-1.47,0.42
66,0.70,-1.54,0.42
