Time,x,y,z
1,0.49,-1.61,0.42
2,0.42,-1.61,0.21
3,0.63,-1.47,0.42
4,0.49,-1.54,0.35
5,0.56,-1.54,0.35
6,0.42,-1.54,0.35
7,0.56,-1.61,0.28
8,0.56,-1.47,0.35
9,0.63,-1.61,0.28
10,0.56,-1.54,0.35
11,0.56,-1.75,0.28
12,0.63,-1.54,0.35
13,0.63,-1.40,0.28
14,0.70,-1.47,0.42
15,0.56,-1.68,0.35
16,0.56,-1.47,0.35
17,0.56,-1.54,0.28
18,0.49,-1.47,0.28
19,0.63,-1.54,0.49
20,0.42,-1.61,0.28
21,0.63,-1.47,0.42
22,0.56,-1.68,0.35
23,0.56,-1.54,0.35
24,0.49,-1.54,0.42
25,0.63,-1.47,0.42
26,0.42,-1.54,0.28
27,0.56,-1.61,0.35
28,0.56,-1.47,0.35
29,0.56,-1.47,0.42
30,0.63,-1.47,0.42
31,0.42,-1.61,0.14
32,0.56,-1.54,0.35
33,0.56,-1.47,0.35
34,0.70,-1.47,0.49
35,0.63,-1.61,0.49
36,0.70,-1.54,0.35
37,0.63,-1.54,0.21
38,0.49,-1.61,0.28
39,0.63,-1.47,0.42
40,0.63,-1.40,0.49
41,0.63,-1.61,0.42
42,0.35,-1.68,0.28
43,0.56,-1.54,0.28
44,0.63,-1.54,0.35
45,0.63,-1.47,0.56
46,0.56,-1.61,0.35
47,0.56,-1.68,0.28
48,0.56,-1.54,0.42
49,0.49,-1.61,0.49
50,0.56,-1.54,0.28
51,0.56,-1.54,0.35
52,0.63,-1.54,0.35
53,0.42,-1.68,0.14
54,0.56,-1.54,0.21
55,0.63,-1.54,0.35
56,0.63,-1.40,0.42
57,0.49,-1.54,0.35
58,0.49,-1.68,0.35
59,0.56,-1.54,0.35
60,0.49,-1.61,0.42
61,0.63,-1.40,0.42
62,0.49,-1.68,0.28
63,0.70,-1.54,0.42
64,0.42,-1.61,0.28
65,0.56,-1.61,0.35
66,0.49,-1.54,0.35
67,0.63,-1.47,0.42
68,0.56,-1.54,0.49
69,0.49,-1.61,0.35
70,0.63,-1.47,0.35
71,0.63,-1.61,0.42
72,0.70,-1.47,0.42
73,0.42,-1.61,0.28
74,0.49,-1.61,0.35
75,0.56,-1.61,0.42
76,0.56,-1.54,0.35
77,0.49,-1.54,0.42
78,0.56,-1.61,0.35
79,0.56,-1.47,0.35
80,0.56,-1.61,0.28
81,0.56,-1.54,0.35
82,0.56,-1.54,0.28
83,0.63,-1.54,0.28
84,0.56,-1.61,0.21
85,0.56,-1.61,0.28
86,0.56,-1.61,0.42
87,0.63,-1.54,0.35
88,0.63,-1.47,0.28
89,0.42,-1.68,0.21
90,0.56,-1.61,0.35
91,0.49,-1.61,0.35
92,0.49,-1.54,0.28
93,0.63,-1.54,0.42
94,0.63,-1.47,0.35
95,0.56,-1.61,0.42
96,0.49,-1.61,0.28
97,0.56,-1.68,0.28
98,0.63,-1.54,0.42
99,0.56,-1.61,0.35
100,0.49,-1.61,0.14
101,0.56,-1.47,0.42
102,0.56,-1.61,0.35
