Time,x,y,z
1,-0.07,-1.54,0.28
2,-0.35,-1.47,0.56
3,-0.49,-1.40,0.56
4,0.63,-1.47,0.35
5,1.05,-1.68,0.28
6,1.12,-1.75,0.21
7,1.33,-1.68,0.28
8,0.42,-1.54,0.42
9,-0.21,-1.33,0.49
10,-0.14,-1.33,0.35
11,-0.84,-1.54,0.42
12,1.05,-1.40,0.00
13,1.82,-1.82,0.00
14,2.24,-1.75,0.49
15,0.70,-1.96,0.35
16,-0.56,-1.26,0.56
17,-1.19,-1.12,0.28
18,-0.28,-1.12,0.14
19,-0.28,-1.68,0.56
20,0.35,-1.54,0.63
21,1.68,-1.47,0.07
22,1.75,-1.61,0.00
23,-0.84,-1.61,0.56
24,-1.40,-1.19,0.35
25,-1.54,-0.70,0.35
26,-5.25,-0.49,0.91
27,4.13,-0.28,-0.07
28,4.34,-2.03,-0.35
29,-3.57,-2.80,1.96
30,3.29,-0.56,-0.70
31,-0.63,-1.89,0.07
32,1.96,-0.42,1.75
33,4.48,-0.28,-1.40
34,-2.66,-2.59,-0.07
35,-1.54,-1.26,2.17
36,-3.15,-0.42,0.21
37,-0.14,-0.28,-0.14
38,2.87,0.35,0.00
39,1.89,-2.17,-0.14
40,2.66,-1.82,0.56
41,3.43,-1.26,-0.07
42,-0.07,-1.19,0.49
43,-1.82,-0.28,0.84
44,-3.64,-0.35,0.28
45,-3.29,-0.98,0.77
46,4.20,-1.61,0.00
47,3.08,-3.01,0.56
48,2.03,-2.38,1.19
49,1.61,-1.47,-0.28
50,-1.19,-1.19,-0.14
51,-2.80,-1.40,1.19
52,-3.78,-1.68,0.98
53,-0.42,-1.61,0.70
54,2.03,-1.54,-0.35
55,6.51,-1.68,-0.63
56,4.90,-2.66,0.49
57,2.10,-2.31,0.84
58,1.12,-1.40,0.00
59,-1.33,-0.91,0.56
60,-1.33,-1.05,0.42
61,-0.98,-1.61,0.49
62,1.96,-2.31,0.49
63,2.87,-2.31,0.21
64,3.15,-2.17,0.21
65,1.68,-1.75,0.56
66,-1.47,-1.61,0.49
67,-3.22,-1.26,0.70
68,-2.94,-1.26,0.70
69,0.28,-1.61,0.49
70,1.47,-2.10,0.35
71,3.43,-1.96,0.35
72,3.22,-1.96,0.14
73,0.91,-1.75,0.14
74,-0.49,-1.33,0.42
75,-0.70,-1.33,0.35
76,-0.35,-1.40,0.56
77,0.28,-1.54,0.21
78,2.45,-1.89,0.14
79,2.38,-2.03,0.35
80,1.61,-1.82,0.35
81,-0.35,-1.54,0.28
82,-1.33,-1.47,0.49
83,-1.40,-1.19,0.63
84,-0.98,-1.47,0.42
85,0.14,-1.89,0.49
86,1.12,-1.75,0.21
87,1.75,-1.68,0.21
88,1.19,-1.54,0.70
89,0.00,-1.54,0.28
90,-0.42,-1.33,0.42
91,-0.21,-1.26,0.28
92,1.12,-1.47,0.28
93,1.47,-1.75,0.35
94,1.40,-1.82,0.35
95,1.89,-1.61,0.28
96,0.84,-1.68,0.42
97,-0.21,-1.33,0.35
98,-0.35,-1.33,0.35
99,-0.49,-1.40,0.56
100,-0.21,-1.47,0.35
101,0.77,-1.61,0.14
102,0.63,-1.75,0.56
103,0.28,-1.54,0.42
104,0.14,-1.40,0.42
105,-0.35,-1.47,0.42
106,-0.07,-1.47,0.28
107,0.14,-1.61,0.49
108,0.91,-1.61,0.42
109,1.33,-1.82,0.28
110,1.54,-1.75,0.28
111,0.84,-1.75,0.42
112,0.70,-1.68,0.28
113,0.49,-1.61,0.35
114,0.35,-1.54,0.35
115,0.98,-1.75,0.49
116,0.98,-1.82,0.42
117,0.91,-1.96,0.35
118,0.84,-1.82,0.42
119,0.35,-1.82,0.42
120,0.21,-1.68,0.42
121,0.14,-1.68,0.35
122,0.28,-1.68,0.42
123,0.63,-1.82,0.28
124,0.91,-1.82,0.28
125,0.91,-1.82,0.35
126,0.98,-1.68,0.35
127,0.84,-1.61,0.42
128,0.49,-1.54,0.42
129,0.63,-1.61,0.35
130,0.84,-1.68,0.35
131,0.84,-1.68,0.42
132,1.05,-1.61,0.35
133,0.77,-1.54,0.35
134,0.35,-1.54,0.35
135,0.07,-1.47,0.35
136,0.07,-1.54,0.35
137,0.21,-1.47,0.42
138,0.21,-1.54,0.35
139,0.35,-1.54,0.42
140,0.42,-1.61,0.21
141,0.35,-1.47,0.42
142,0.21,-1.54,0.35
143,0.35,-1.47,0.28
144,0.49,-1.47,0.42
145,0.35,-1.61,0.28
146,0.77,-1.54,0.28
147,0.84,-1.54,0.28
148,0.91,-1.47,0.35
149,0.77,-1.68,0.35
150,0.63,-1.61,0.35
151,0.49,-1.54,0.49
152,0.49,-1.54,0.35
153,0.35,-1.47,0.49
154,0.21,-1.61,0.42
155,0.49,-1.54,0.49
156,0.28,-1.75,0.35
157,0.35,-1.68,0.28
158,0.49,-1.68,0.42
159,0.56,-1.68,0.42
160,0.63,-1.61,0.42
161,0.70,-1.68,0.35
162,0.70,-1.68,0.35
163,0.77,-1.54,0.35
164,1.12,-1.54,0.28
165,0.84,-1.61,0.28
166,0.84,-1.68,0.28
167,0.77,-1.68,0.35
168,0.42,-1.61,0.28
169,0.42,-1.75,0.35
170,0.35,-1.68,0.42
171,0.28,-1.61,0.49
172,0.35,-1.68,0.35
173,0.35,-1.82,0.49
174,0.42,-1.68,0.49
175,0.56,-1.82,0.35
176,0.63,-1.75,0.56
177,0.49,-1.75,0.28
178,0.63,-1.82,0.28
179,0.70,-1.75,0.42
180,0.98,-1.68,0.35
181,1.26,-1.61,0.35
182,1.19,-1.75,0.42
183,1.05,-1.61,0.28
184,0.91,-1.68,0.28
185,0.70,-1.61,0.35
186,0.42,-1.61,0.28
187,0.49,-1.61,0.42
188,0.35,-1.61,0.35
189,0.35,-1.75,0.35
190,0.35,-1.54,0.49
191,0.21,-1.54,0.35
192,0.42,-1.40,0.56
193,0.21,-1.54,0.35
194,0.21,-1.61,0.28
195,0.42,-1.54,0.28
196,0.56,-1.61,0.35
197,0.77,-1.54,0.28
198,0.91,-1.54,0.35
199,0.98,-1.54,0.42
200,0.77,-1.54,0.21
201,0.70,-1.61,0.42
202,0.42,-1.61,0.42
203,0.63,-1.47,0.42
204,0.56,-1.61,0.49
205,0.35,-1.68,0.35
206,0.42,-1.68,0.28
207,0.28,-1.54,0.42
208,0.21,-1.61,0.49
209,-0.07,-1.61,0.28
210,0.14,-1.75,0.42
211,0.49,-1.61,0.21
212,0.56,-1.54,0.35
213,0.70,-1.68,0.28
214,0.77,-1.68,0.35
215,0.98,-1.61,0.56
216,0.77,-1.75,0.28
217,0.70,-1.75,0.42
218,0.84,-1.68,0.42
219,0.77,-1.68,0.49
220,0.98,-1.61,0.42
221,0.84,-1.75,0.42
222,0.63,-1.75,0.42
223,0.42,-1.75,0.42
224,0.42,-1.75,0.42
225,0.28,-1.68,0.49
226,0.28,-1.75,0.42
227,0.49,-1.61,0.42
228,0.42,-1.61,0.28
229,0.70,-1.61,0.49
230,0.77,-1.68,0.35
231,0.84,-1.61,0.35
232,0.70,-1.54,0.21
233,0.70,-1.75,0.35
234,0.70,-1.68,0.42
235,0.70,-1.54,0.42
236,0.91,-1.54,0.49
237,0.63,-1.68,0.42
238,0.98,-1.68,0.35
239,0.63,-1.68,0.35
240,0.49,-1.68,0.42
241,0.28,-1.68,0.28
242,0.35,-1.61,0.35
243,0.28,-1.54,0.42
244,0.21,-1.68,0.35
245,0.21,-1.61,0.35
246,0.49,-1.61,0.28
247,0.63,-1.61,0.42
248,0.56,-1.54,0.28
249,0.49,-1.47,0.07
250,0.70,-1.47,0.42
251,0.63,-1.61,0.21
252,0.84,-1.47,0.35
253,0.77,-1.61,0.28
254,0.77,-1.47,0.28
255,0.56,-1.54,0.28
256,0.49,-1.54,0.35
257,0.28,-1.54,0.35
258,0.21,-1.54,0.35
259,0.35,-1.54,0.49
260,0.21,-1.68,0.35
261,0.28,-1.75,0.42
262,0.42,-1.75,0.21
263,0.42,-1.61,0.28
264,0.56,-1.61,0.56
265,0.42,-1.61,0.42
266,0.63,-1.47,0.42
267,0.77,-1.61,0.42
268,0.84,-1.68,0.35
269,0.84,-1.75,0.42
270,0.98,-1.75,0.42
271,0.91,-1.68,0.49
272,0.70,-1.68,0.21
273,0.63,-1.54,0.35
274,0.63,-1.68,0.49
275,0.56,-1.61,0.35
276,0.42,-1.75,0.21
277,0.35,-1.75,0.42
278,0.35,-1.75,0.28
279,0.42,-1.68,0.49
280,0.35,-1.68,0.21
281,0.42,-1.68,0.49
282,0.56,-1.54,0.28
283,0.56,-1.75,0.14
284,0.77,-1.68,0.28
285,0.91,-1.68,0.42
286,0.84,-1.68,0.42
287,0.91,-1.54,0.35
288,0.70,-1.68,0.28
289,0.84,-1.61,0.28
290,0.70,-1.61,0.21
291,0.84,-1.61,0.42
292,0.49,-1.61,0.28
293,0.56,-1.54,0.35
294,0.42,-1.61,0.42
295,0.35,-1.54,0.56
296,0.28,-1.61,0.42
297,0.21,-1.61,0.35
298,0.49,-1.47,0.35
299,0.49,-1.61,0.21
300,0.42,-1.68,0.35
301,0.77,-1.61,0.35
302,0.77,-1.61,0.28
303,0.63,-1.47,0.63
304,0.70,-1.61,0.14
305,0.70,-1.54,0.42
306,0.63,-1.54,0.42
307,0.77,-1.68,0.42
308,0.63,-1.54,0.35
309,0.42,-1.54,0.49
310,0.42,-1.54,0.42
311,0.28,-1.61,0.35
312,0.28,-1.68,0.49
