Time,x,y,z
1,0.56,-1.47,0.42
2,0.63,-1.68,0.42
3,0.63,-1.54,0.42
4,0.56,-1.61,0.28
5,0.56,-1.68,0.35
6,0.56,-1.54,0.35
7,0.63,-1.61,0.42
8,0.56,-1.54,0.42
9,0.49,-1.54,0.35
10,0.56,-1.54,0.35
11,0.49,-1.54,0.42
12,0.70,-1.40,0.49
13,0.49,-1.54,0.28
14,0.63,-1.47,0.42
15,0.56,-1.54,0.28
16,0.56,-1.61,0.28
17,0.56,-1.68,0.28
18,0.56,-1.61,0.42
19,0.77,-1.61,0.42
20,0.56,-1.68,0.21
21,0.56,-1.61,0.49
22,0.56,-1.54,0.42
23,0.63,-1.47,0.42
24,0.63,-1.47,0.42
25,0.42,-1.68,0.28
26,0.49,-1.54,0.35
27,0.49,-1.61,0.42
28,0.56,-1.61,0.35
29,0.49,-1.61,0.21
30,0.56,-1.61,0.35
31,0.49,-1.61,0.28
32,0.42,-1.68,0.28
33,0.56,-1.68,0.42
34,0.56,-1.54,0.42
35,0.70,-1.47,0.42
36,0.49,-1.61,0.21
37,0.56,-1.68,0.35
38,0.56,-1.54,0.35
39,0.56,-1.61,0.35
40,0.63,-1.68,0.42
41,0.56,-1.61,0.21
42,0.63,-1.68,0.42
43,0.56,-1.75,0.35
44,0.63,-1.68,0.49
45,0.56,-1.61,0.28
46,0.56,-1.68,0.35
47,0.63,-1.61,0.28
48,0.49,-1.68,0.35
49,0.56,-1.61,0.42
50,0.56,-1.61,0.35
51,0.63,-1.54,0.42
52,0.56,-1.68,0.28
53,0.63,-1.61,0.42
54,0.56,-1.61,0.49
55,0.56,-1.54,0.42
56,0.56,-1.61,0.35
57,0.56,-1.61,0.28
58,0.56,-1.68,0.42
59,0.49,-1.68,0.21
60,0.56,-1.54,0.49
61,0.49,-1.61,0.35
62,0.56,-1.47,0.42
63,0.56,-1.47,0.35
64,0.35,-1.68,0.28
65,0.56,-1.54,0.35
66,0.56,-1.61,0.14
67,0.63,-1.54,0.35
68,0.49,-1.54,0.35
69,0.42,-1.54,0.42
70,0.56,-1.54,0.42
71,0.56,-1.54,0.28
72,0.56,-1.47,0.35
73,0.56,-1.61,0.35
74,0.70,-1.68,0.28
75,0.49,-1.68,0.42
76,0.56,-1.82,0.49
77,0.56,-1.75,0.49
78,0.63,-1.75,0.49
79,0.70,-1.61,0.63
80,0.56,-1.75,0.28
81,0.63,-1.82,0.28
82,0.49,-1.61,0.42
83,0.63,-1.54,0.42
84,0.42,-1.54,0.35
85,0.56,-1.54,0.28
86,0.56,-1.61,0.35
87,0.42,-1.68,0.21
88,0.49,-1.61,0.42
89,0.49,-1.75,0.42
90,0.56,-1.68,0.42
91,0.42,-1.89,0.28
92,0.42,-1.68,0.42
93,0.42,-1.61,0.42
94,0.28,-1.47,0.42
95,0.42,-1.33,0.35
96,0.28,-1.33,0.28
97,0.42,-1.33,0.35
98,0.70,-1.40,0.28
99,0.84,-1.40,0.28
100,0.63,-1.47,0.21
101,0.28,-1.61,0.56
102,0.21,-1.68,0.35
103,0.42,-1.82,0.35
104,0.84,-1.89,0.21
105,1.26,-1.75,0.35
106,1.26,-1.89,0.42
107,0.70,-1.68,0.35
108,0.00,-1.54,0.49
109,-0.21,-1.47,0.49
110,0.14,-1.40,0.49
111,1.12,-1.40,0.28
112,0.56,-1.26,0.21
113,0.77,-1.47,0.56
114,0.63,-1.54,0.28
115,0.56,-1.68,0.28
116,0.63,-1.82,0.49
117,0.63,-1.89,0.42
118,0.70,-1.96,0.42
119,0.56,-1.89,0.28
120,0.56,-1.68,0.28
121,0.56,-1.61,0.42
122,0.63,-1.33,0.42
123,0.49,-1.33,0.35
124,0.42,-1.40,0.28
125,0.63,-1.26,0.35
126,0.42,-1.54,0.35
127,0.49,-1.75,0.28
128,0.42,-1.82,0.42
129,0.63,-1.75,0.42
130,0.49,-1.82,0.35
131,0.63,-1.82,0.35
132,0.56,-1.75,0.42
133,0.49,-1.68,0.35
134,0.70,-1.40,0.42
135,0.42,-1.47,0.21
136,0.56,-1.40,0.28
137,0.49,-1.33,0.28
138,0.70,-1.40,0.35
139,0.49,-1.61,0.42
140,0.63,-1.61,0.49
141,0.70,-1.61,0.35
