Time,x,y,z
1,0.77,-1.75,0.28
2,0.63,-1.82,0.28
3,0.77,-1.82,0.42
4,0.70,-1.75,0.42
5,0.56,-1.75,0.42
6,0.63,-1.82,0.49
7,0.77,-1.82,0.28
8,0.70,-1.89,0.42
9,0.70,-1.68,0.42
10,0.77,-1.82,0.42
11,0.56,-1.68,0.28
12,0.70,-1.82,0.28
13,0.63,-1.75,0.49
14,0.63,-1.68,0.42
15,0.70,-1.61,0.35
16,0.49,-1.75,0.28
17,0.56,-1.61,0.28
18,0.63,-1.61,0.35
19,0.70,-1.54,0.42
20,0.63,-1.47,0.35
21,0.49,-1.61,0.21
22,0.63,-1.47,0.35
23,0.42,-1.47,0.28
24,0.63,-1.47,0.28
25,0.42,-1.47,0.42
26,0.63,-1.47,0.56
27,0.42,-1.54,0.21
28,0.42,-1.54,0.35
29,0.49,-1.47,0.42
30,0.49,-1.47,0.42
31,0.56,-1.47,0.42
32,0.35,-1.54,0.35
33,0.56,-1.54,0.42
34,0.42,-1.47,0.35
35,0.49,-1.47,0.35
36,0.42,-1.40,0.28
37,0.42,-1.40,0.42
38,0.49,-1.40,0.42
39,0.35,-1.54,0.14
40,0.42,-1.40,0.28
41,0.42,-1.54,0.35
42,0.49,-1.54,0.42
43,0.42,-1.47,0.35
44,0.49,-1.68,0.35
45,0.49,-1.54,0.42
46,0.49,-1.61,0.35
47,0.56,-1.68,0.35
48,0.49,-1.68,0.35
49,0.49,-1.61,0.28
50,0.49,-1.61,0.35
51,0.63,-1.54,0.49
52,0.56,-1.68,0.35
53,0.63,-1.61,0.42
54,0.63,-1.75,0.28
55,0.42,-1.75,0.35
56,0.63,-1.68,0.35
57,0.63,-1.68,0.42
58,0.63,-1.54,0.42
59,0.56,-1.68,0.42
60,0.56,-1.75,0.28
61,0.63,-1.75,0.42
62,0.56,-1.61,0.28
63,0.70,-1.68,0.42
64,0.56,-1.68,0.42
65,0.63,-1.75,0.28
66,0.49,-1.68,0.35
67,0.49,-1.75,0.28
68,0.56,-1.68,0.35
69,0.63,-1.61,0.35
70,0.63,-1.75,0.35
71,0.35,-1.75,0.35
72,0.56,-1.68,0.28
73,0.56,-1.75,0.35
74,0.63,-1.68,0.42
75,0.63,-1.61,0.42
76,0.49,-1.75,0.35
77,0.56,-1.68,0.21
78,0.49,-1.61,0.28
79,0.63,-1.61,0.56
80,0.49,-1.61,0.35
81,0.63,-1.54,0.42
82,0.49,-1.54,0.42
83,0.42,-1.68,0.35
84,0.49,-1.47,0.35
85,0.49,-1.47,0.42
86,0.63,-1.40,0.42
87,0.35,-1.54,0.28
88,0.42,-1.61,0.28
89,0.49,-1.47,0.28
90,0.56,-1.40,0.42
91,0.56,-1.47,0.42
92,0.35,-1.54,0.28
93,0.49,-1.61,0.28
94,0.49,-1.61,0.35
95,0.56,-1.54,0.35
96,0.56,-1.61,0.42
97,0.56,-1.61,0.35
98,0.49,-1.54,0.28
99,0.49,-1.61,0.21
100,0.63,-1.47,0.42
101,0.56,-1.54,0.49
102,0.70,-1.61,0.42
103,0.56,-1.61,0.28
104,0.56,-1.68,0.42
105,0.63,-1.54,0.35
106,0.63,-1.61,0.35
107,0.70,-1.61,0.42
108,0.49,-1.68,0.28
109,0.70,-1.61,0.42
110,0.56,-1.68,0.28
111,0.63,-1.75,0.42
112,0.49,-1.68,0.35
113,0.63,-1.61,0.42
114,0.56,-1.68,0.28
115,0.42,-1.61,0.28
116,0.56,-1.61,0.49
117,0.56,-1.75,0.42
118,0.63,-1.61,0.42
119,0.49,-1.68,0.35
120,0.63,-1.75,0.42
121,0.56,-1.68,0.42
122,0.56,-1.61,0.42
123,0.63,-1.68,0.35
124,0.63,-1.68,0.42
125,0.70,-1.61,0.49
126,0.49,-1.82,0.21
127,0.63,-1.82,0.42
128,0.56,-1.75,0.35
129,0.49,-1.68,0.28
130,0.70,-1.61,0.56
131,0.56,-1.75,0.42
132,0.56,-1.75,0.28
133,0.56,-1.61,0.21
134,0.77,-1.61,0.35
135,0.49,-1.54,0.28
136,0.42,-1.75,0.28
137,0.56,-1.54,0.35
138,0.56,-1.61,0.42
139,0.56,-1.54,0.35
140,0.56,-1.54,0.35
141,0.56,-1.54,0.28
142,0.49,-1.61,0.28
143,0.49,-1.61,0.28
144,0.49,-1.54,0.28
145,0.49,-1.47,0.35
146,0.63,-1.40,0.63
147,0.42,-1.68,0.21
148,0.49,-1.54,0.42
149,0.35,-1.47,0.28
150,0.56,-1.47,0.35
151,0.49,-1.61,0.42
152,0.56,-1.47,0.28
153,0.56,-1.54,0.49
154,0.42,-1.54,0.28
155,0.63,-1.54,0.42
156,0.49,-1.68,0.42
157,0.63,-1.61,0.35
158,0.42,-1.61,0.28
159,0.56,-1.61,0.28
160,0.56,-1.61,0.42
161,0.56,-1.54,0.35
162,0.63,-1.54,0.49
163,0.49,-1.68,0.35
164,0.63,-1.47,0.21
165,0.56,-1.68,0.35
166,0.56,-1.61,0.42
167,0.49,-1.68,0.28
168,0.63,-1.68,0.35
169,0.63,-1.68,0.28
170,0.56,-1.68,0.35
171,0.70,-1.68,0.42
172,0.56,-1.68,0.35
173,0.70,-1.61,0.42
174,0.56,-1.68,0.21
175,0.49,-1.68,0.42
176,0.63,-1.61,0.35
177,0.63,-1.68,0.49
178,0.70,-1.61,0.42
179,0.56,-1.75,0.35
180,0.63,-1.61,0.28
181,0.56,-1.68,0.28
182,0.63,-1.68,0.35
183,0.63,-1.54,0.42
184,0.63,-1.61,0.49
185,0.63,-1.54,0.35
186,0.35,-1.75,0.21
187,0.63,-1.61,0.28
188,0.63,-1.54,0.42
189,0.63,-1.47,0.28
190,0.42,-1.61,0.35
191,0.49,-1.68,0.28
192,0.63,-1.54,0.42
193,0.63,-1.54,0.49
194,0.56,-1.47,0.42
195,0.49,-1.47,0.35
196,0.70,-1.54,0.42
